dac_trung,do_quan_trong
ten_benh_nam_trong_cong_dung,0.3819222572
do_dai_ten_benh,0.0957221754
so_tu_ten_benh,0.0697404172
ti_le_tu_chung_cong_dung_benh,0.0635995216
so_tu_chung_cong_dung_benh,0.0631116637
do_dai_cong_dung,0.0430189406
so_tu_cong_dung,0.0339520327
so_tu_trieu_chung,0.0276700459
do_dai_mo_ta_benh,0.0272072747
do_dai_trieu_chung,0.0258888452
ti_le_tu_chung_cong_dung_trieu_chung,0.0235288349
so_chi_dinh_trong_cong_dung,0.0191917395
ti_le_tu_chung_cong_dung_mo_ta,0.0158648444
so_tu_mo_ta_benh,0.0139963818
so_tu_chung_cong_dung_trieu_chung,0.0126424351
so_tu_chung_cong_dung_mo_ta,0.0113991002
do_dai_hoat_chat,0.0108415443
disease_group_id=3,0.0093740273
cong_dung_nam_trong_ten_benh,0.0092302061
disease_group_id=6,0.0067336810
so_tu_hoat_chat,0.0056654438
disease_group_id=14,0.0044217527
drug_group_id=5,0.0037631433
disease_group_id=13,0.0032367403
do_dai_ten_thuoc,0.0028703105
drug_group_id=14,0.0017700404
disease_group_id=9,0.0015868067
drug_group_id=8,0.0015153321
drug_group_id=9,0.0014793298
disease_group_id=8,0.0012370661
drug_group_id=15,0.0011499077
disease_group_id=2,0.0010522012
drug_group_id=2,0.0010417290
disease_group_id=12,0.0006448145
drug_group_id=6,0.0006232607
drug_group_id=10,0.0006043347
drug_group_id=13,0.0004887710
drug_group_id=7,0.0004447303
disease_group_id=4,0.0003127672
disease_group_id=10,0.0002467113
ti_le_tu_chung_hoat_chat_benh,0.0002258824
drug_group_id=3,0.0002234698
disease_group_id=11,0.0002104143
so_tu_chung_hoat_chat_benh,0.0001937130
disease_group_id=7,0.0001783288
drug_group_id=11,0.0001037111
drug_group_id=4,0.0000299531
drug_group_id=17,0.0000262651
drug_group_id=16,0.0000171004
co_mo_ta_benh,0.0000000000
co_thuoc_dieu_tri_da_biet,0.0000000000
co_trieu_chung,0.0000000000
do_dai_tac_dung_phu,0.0000000000
route_id=nan,0.0000000000
so_tu_chung_hoat_chat_thuoc_da_biet,0.0000000000
so_tu_chung_hoat_chat_trieu_chung,0.0000000000
so_tu_chung_tac_dung_phu_benh,0.0000000000
so_tu_chung_tac_dung_phu_trieu_chung,0.0000000000
so_tu_chung_ten_thuoc_thuoc_da_biet,0.0000000000
so_tu_thuoc_dieu_tri_da_biet,0.0000000000
ti_le_tu_chung_hoat_chat_thuoc_da_biet,0.0000000000
ti_le_tu_chung_hoat_chat_trieu_chung,0.0000000000
ti_le_tu_chung_tac_dung_phu_benh,0.0000000000
ti_le_tu_chung_tac_dung_phu_trieu_chung,0.0000000000
ti_le_tu_chung_ten_thuoc_thuoc_da_biet,0.0000000000
