CandidateDiseaseCode,CandidateDiseaseNameEn,CandidateDiseaseNameVi,SuggestedGroupCode,MatchedKeyword,EvidenceField,EvidenceCount,SampleDrugNames,EvidenceSnippet,Action
CAND-DIS-0001,Skin Cancer,,CANCER,Skin Cancer,KnownIndications; SideEffectsWarnings,32,"OCTISALATE, TITANIUM DIOXIDE (FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00); AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE (Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15); OCTINOXATE, AVOBENZONE, AND OCTOCRYLENE (Nu Skin Sunright Lip Balm Broad Spectrum SPF 15); TITANIUM DIOXIDE, ZINC OXIDE (Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30); SUNSCREEN (Private Label Moisturizing Oil Free Paraben Free SPF43)","Uses Helps prevent sunburn. If used as directed with other sun protection measures ( ), decreases the risk of skin cancer and early skin aging caused by the sun. see Directions || Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun || Use Helps prevent sunburn. Higher SPF gives more sunburn protection. If used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun.",NEED_REVIEW
CAND-DIS-0002,Skin Cancer and Early Skin Aging,,CANCER,Skin Cancer and Early Skin Aging,KnownIndications; SideEffectsWarnings,29,"OCTISALATE, TITANIUM DIOXIDE (FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00); AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE (Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15); OCTINOXATE, AVOBENZONE, AND OCTOCRYLENE (Nu Skin Sunright Lip Balm Broad Spectrum SPF 15); TITANIUM DIOXIDE, ZINC OXIDE (Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30); SUNSCREEN (Private Label Moisturizing Oil Free Paraben Free SPF43)","Uses Helps prevent sunburn. If used as directed with other sun protection measures ( ), decreases the risk of skin cancer and early skin aging caused by the sun. see Directions || Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun || Use Helps prevent sunburn. Higher SPF gives more sunburn protection. If used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun.",NEED_REVIEW
CAND-DIS-0003,Diabetes Mellitus,Đái tháo đường,METABOLIC,Diabetes Mellitus,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,28,VARENICLINE (Varenicline); FLUDROCORTISONE ACETATE (Fludrocortisone Acetate); AMLODIPINE BESYLATE (Amlodipine Besylate); PREDNISONE (PredniSONE); LEVONORGESTREL AND ETHINYL ESTRADIOL (Iclevia),"on test abnormal, weight increased. Infrequent: electrocardiogram abnormal. Rare: muscle enzyme increased, urine analysis abnormal. Metabolism and Nutrition Disorders. Infrequent: diabetes mellitus, hypoglycemia. Rare: hyperlipidemia, hypokalemia. Musculoskeletal and Connective Tissue Disorders. Frequent: arthralgia, back pain, myalgia. Infrequent: arthritis, muscle cramp, m || dary adrenocortical and pituitary unresponsiveness, particularly in times of stress (e.g., trauma, surgery, or illness); decreased carbohydrate tolerance; manifestations of latent diabetes mellitus; and increased requirements for insulin or oral hypoglycemic agents in diabetics. Ophthalmic – posterior subcapsular cataracts, increased intraocular pressure, glaucoma, and exoph || se of amlodipine. Postmarketing reporting has also revealed a possible association between extrapyramidal disorder and amlodipine. Amlodipine has been used safely in patients with chronic obstructive pulmonary disease, well-compensated co",NEED_REVIEW
CAND-DIS-0004,Pulmonary Embolism,,CARDIO,Pulmonary Embolism,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,27,VARENICLINE (Varenicline); BUPROPION HYDROCHLORIDE (buPropion Hydrochloride XL); LORLATINIB (Lorbrena); TRANEXAMIC ACID (tranexamic acid); LEVONORGESTREL AND ETHINYL ESTRADIOL (Iclevia),"atory, Thoracic and Mediastinal Disorders. Frequent: respiratory disorders. Infrequent: asthma, epistaxis, rhinitis allergic, upper respiratory tract inflammation. Rare: pleurisy, pulmonary embolism. Skin and Subcutaneous Tissue Disorders. Infrequent: acne, dry skin, eczema, erythema, hyperhidrosis, urticaria. Rare: photosensitivity reaction, psoriasis. Vascular Disorders. In || y, and malaise. Cardiovascular Postural hypotension, hypertension, stroke, vasodilation, syncope, complete atrioventricular block, extrasystoles, myocardial infarction, phlebitis, pulmonary embolism, and Brugada pattern/syndrome. Digestive Abnormal liver function, bruxism, gastric reflux, gingivitis, glossitis, increased salivation, jaundice, mouth ulcers, stomatitis, thirst, || pyrexia (2.0%). Fatal adverse reactions occurred in 3.4% of patients treated with LORBRENA and included pneumonia (0.7%), respiratory failure (0.7%), cardiac failure acute (0.7%), pulmonary embolism (0.7%), and sudden death (0.7%). Perm",NEED_REVIEW
CAND-DIS-0005,Diabetes,,METABOLIC,Diabetes,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,26,SACUBITRIL AND VALSARTAN (ENTRESTO); AMLODIPINE BESYLATE (Amlodipine Besylate); VERAPAMIL HYDROCHLORIDE (Verapamil Hydrochloride); VALSARTAN (Valsartan); LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS (Lisinopril and Hydrochlorothiazide),"ponent. ( 4 ) History of angioedema related to previous ACEi or ARB therapy. ( 4 ) Concomitant use with ACE inhibitors. ( 4 , 7.1 ) Concomitant use with aliskiren in patients with diabetes. ( 4 , 7.1 ) || ponent. ( 4 ) History of angioedema related to previous ACEi or ARB therapy. ( 4 ) Concomitant use with ACE inhibitors. ( 4 , 7.1 ) Concomitant use with aliskiren in patients with diabetes. ( 4 , 7.1 ) || across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effec",NEED_REVIEW
CAND-DIS-0006,Psoriasis,Vảy nến,DERMATOLOGY,Psoriasis,KnownIndications; SideEffectsWarnings,25,HYDROCORTISONE (anti itch); VARENICLINE (Varenicline); PREDNISONE (PredniSONE); LEFLUNOMIDE (Leflunomide); TRAZODONE HYDROCHLORIDE (Trazodone Hydrochloride),"Uses • temporarily relieves itching associated with minor skin irritations, inflammation, and rashes due to: • eczema • psoriasis • poison ivy, oak, sumac • insect bites • detergents • jewelry • cosmetics • soaps • seborrheic dermatitis • temporarily relieves external anal and genital itching • other uses of || are: pleurisy, pulmonary embolism. Skin and Subcutaneous Tissue Disorders. Infrequent: acne, dry skin, eczema, erythema, hyperhidrosis, urticaria. Rare: photosensitivity reaction, psoriasis. Vascular Disorders. Infrequent: hot flush. Rare: thrombosis. Varenicline has also been studied in postmarketing trials including (1) a trial conducted in patients with chronic ob || carditis 4. Dermatologic Diseases Pemphigus Bullous dermatitis herpetiformis Severe erythema multiforme (Stevens-Johnson syndrome) Exfoliative dermatitis Mycosis fungoides Severe psoriasis Severe seborrheic dermatitis 5. Allergic States Control of severe or incapacitating allergic conditions intractable to adequa",NEED_REVIEW
CAND-DIS-0007,Ulcerative Colitis,,DIGESTIVE,Ulcerative Colitis,ContraindicationsInteractions; KnownIndications; MechanismOfAction; SideEffectsWarnings,23,NAPROXEN (Naproxen); KETOROLAC TROMETHAMINE (Ketorolac Tromethamine); PREDNISONE (PredniSONE); INDOMETHACIN (Indomethacin); LANSOPRAZOLE (Lansoprazole),"), ulceration, perforation and obstruction of the upper or lower gastrointestinal tract. Esophagitis, stomatitis, hematemesis, colitis, exacerbation of inflammatory bowel disease (ulcerative colitis, Crohn’s disease). Hepatobiliary: abnormal liver function tests, hepatitis (some cases have been fatal) Hemic and Lymphatic: eosinophilia, leucopenia, granulocytopenia, hemolytic || ing Stevens-Johnson syndrome and toxic epidermal necrolysis Gastrointestinal: acute pancreatitis, liver failure, ulcerative stomatitis, exacerbation of inflammatory bowel disease (ulcerative colitis, Crohn's disease) Hemic and Lymphatic: agranulocytosis, aplastic anemia, hemolytic anemia, lymphadenopathy, pancytopenia, post operative wound hemorrhage (rarely requiring blood t || high risk patients, alternate therapies that do not involve NSAIDs should be considered. NSAIDs should be given with care to patients with a history of inflammatory bowel disease (ulcerative colitis, Crohn's disease) as their condition m",NEED_REVIEW
CAND-DIS-0008,Bipolar Disorder,Rối loạn lưỡng cực,MENTAL,Bipolar Disorder,KnownIndications; MechanismOfAction; SideEffectsWarnings,20,SERTRALINE HYDROCHLORIDE (Sertraline Hydrochloride); AMPHETAMINE SULFATE (Amphetamine Sulfate); DIVALPROEX SODIUM (Divalproex Sodium); LAMOTRIGINE (Lamotrigine); AMITRIPTYLINE HYDROCHLORIDE (Amitriptyline Hydrochloride),"ms should be adequately screened to determine if they are at risk for bipolar disorder; such screening should include a detailed psychiatric history, including a family history of suicide, bipolar disorder, and depression. It should be noted that sertraline hydrochloride is not approved for use in treating bipolar depression. Serotonin Syndrome: The development of a potentially life-threatening ser || aline hydrochloride should be written for the smallest quantity of tablets consistent with good patient management, in order to reduce the risk of overdose. Screening Patients for Bipolar Disorder: A major depressive episode may be the initial presentation of bipolar disorder. It is generally believed (though not established in controlled trials) that treating such an episo || stent with good patient management, in order to reduce the risk of overdose. Screening Patients for Bipolar Disorder: A major depressive episode may be the initial presentation of bipolar disorder. It is generally b",NEED_REVIEW
CAND-DIS-0009,Deep Vein Thrombosis,,CARDIO,Deep Vein Thrombosis,ContraindicationsInteractions; KnownIndications; SideEffectsWarnings,12,TRANEXAMIC ACID (tranexamic acid); LEVONORGESTREL AND ETHINYL ESTRADIOL (Iclevia); DOCETAXEL ANHYDROUS (Docetaxel); CELECOXIB (CELECOXIB); ESTRADIOL (Estradiol Vaginal),"olve with dose-reduction. Allergic dermatitis and giddiness have been reported. Hypotension has been reported when intravenous injection is too rapid. Thromboembolic events (e.g., deep vein thrombosis, pulmonary embolism, cerebral thrombosis, acute renal cortical necrosis, and central retinal artery, vein obstruction and cases associated with concomitant use of combination horm || or venous thrombotic diseases. Examples include females who are known to: Smoke, if over age 35 [see Boxed Warning and Warnings and Precautions (5.1) ]. Have current or history of deep vein thrombosis or pulmonary embolism [see Warnings and Precautions (5.1) ]. Have cerebrovascular disease [see Warnings and Precautions (5.1) ]. Have coronary artery disease [see Warnings and Precautions (5.1) ]. Have thrombogenic valvular or thrombo || or venous thrombotic diseases. Examples include females who are known to: Smoke, if over age 35 [see Boxed Warning and Warnings and Precautions (5.1) ]. Have current or history ",NEED_REVIEW
CAND-DIS-0010,Prostate Cancer,,CANCER,Prostate Cancer,KnownIndications; SideEffectsWarnings,10,MIRABEGRON (MIRABEGRON); LEUPROLIDE ACETATE (Vabrinty); ZOLEDRONIC ACID (Zoledronic acid); DOCETAXEL ANHYDROUS (Docetaxel); FINASTERIDE (Finasteride),"inuation in Studies 1, 2, and 3 for the 25 mg or 50 mg dose were nausea, headache, hypertension, diarrhea, constipation, dizziness, and tachycardia. Atrial fibrillation (0.2%) and prostate cancer (0.1%) were reported as serious adverse events by more than 1 patient and at a rate greater than placebo. Table 8 lists the adverse reactions, derived from all adverse events, tha || ive control once daily, respectively. Neoplasms reported by 2 patients treated with mirabegron extended-release tablets 100 mg included breast cancer, lung neoplasm malignant, and prostate cancer. A causal relationship between mirabegron and these reported neoplasms has not been established. In a separate clinical study in Japan, a single case was reported as Stevens-Johns || 1 INDICATIONS AND USAGE VABRINTY is indicated for the treatment of advanced prostate cancer. VABRINTY is a gonadotropin releasing hormone (GnRH) agonist indicated for the treatment of advanced prostate cancer. ( 1 )",NEED_REVIEW
