DiseaseCode,DiseaseNameVi,DiseaseNameEn,GroupCode,ICD10,MeSHOrUMLS,KeywordsVi,KeywordsEn,DescriptionVi,DescriptionEn
DIS-VN-001,Tăng huyết áp,Hypertension,CARDIO,I10,,tăng huyết áp;cao huyết áp,hypertension;high blood pressure;antihypertensive,Bệnh tim mạch phổ biến liên quan huyết áp tăng mạn tính,Common cardiovascular condition with chronically elevated blood pressure
DIS-VN-002,Đái tháo đường type 2,Type 2 diabetes mellitus,METABOLIC,E11,,đái tháo đường type 2;tiểu đường type 2,type 2 diabetes;type 2 diabetes mellitus;diabetes mellitus type 2;non insulin dependent diabetes;adult onset diabetes,Rối loạn chuyển hóa glucose mạn tính thường gặp,Common chronic glucose metabolism disorder
DIS-VN-003,Rối loạn lipid máu,Dyslipidemia,METABOLIC,E78.5,,rối loạn lipid máu;mỡ máu cao,dyslipidemia;hyperlipidemia;hypercholesterolemia;high cholesterol;high triglycerides,Rối loạn cholesterol hoặc triglycerid trong máu,Disorder of blood cholesterol or triglycerides
DIS-VN-004,Bệnh động mạch vành,Coronary artery disease,CARDIO,I25.1,,bệnh động mạch vành;bệnh mạch vành;thiếu máu cơ tim,coronary artery disease;coronary heart disease;ischemic heart disease;angina;atherosclerotic cardiovascular disease,Bệnh tim do hẹp hoặc xơ vữa động mạch vành,Heart disease caused by narrowed or atherosclerotic coronary arteries
DIS-VN-005,Nhồi máu cơ tim,Myocardial infarction,CARDIO,I21,,nhồi máu cơ tim;hội chứng mạch vành cấp,myocardial infarction;heart attack;acute myocardial infarction;acute coronary syndrome,Tình trạng thiếu máu cơ tim cấp gây hoại tử cơ tim,Acute cardiac ischemic event causing myocardial injury
DIS-VN-006,Đột quỵ,Stroke,CARDIO,I64,,đột quỵ;tai biến mạch máu não,stroke;ischemic stroke;hemorrhagic stroke;cerebrovascular accident,Biến cố thần kinh cấp do rối loạn mạch máu não,Acute neurologic event caused by cerebrovascular disease
DIS-VN-007,Suy tim,Heart failure,CARDIO,I50,,suy tim,heart failure;congestive heart failure;cardiac failure,Tình trạng tim không bơm máu đủ theo nhu cầu cơ thể,Condition where the heart cannot pump enough blood for body needs
DIS-VN-008,Rung nhĩ,Atrial fibrillation,CARDIO,I48,,rung nhĩ,atrial fibrillation;auricular fibrillation,Rối loạn nhịp tim thường gặp làm tăng nguy cơ huyết khối,Common arrhythmia associated with thromboembolic risk
DIS-VN-009,Bệnh phổi tắc nghẽn mạn tính,COPD,RESPIRATORY,J44,,bệnh phổi tắc nghẽn mạn tính;copd,COPD;chronic obstructive pulmonary disease;chronic bronchitis;emphysema,Bệnh hô hấp mạn tính có tắc nghẽn luồng khí,Chronic respiratory disease with airflow obstruction
DIS-VN-010,Hen phế quản,Asthma,RESPIRATORY,J45,,hen;hen phế quản,asthma;bronchial asthma;asthmatic,Bệnh viêm đường thở mạn tính gây khò khè và khó thở,Chronic airway inflammatory disease causing wheeze and dyspnea
DIS-VN-011,Viêm phổi,Pneumonia,RESPIRATORY,J18,,viêm phổi,pneumonia;community acquired pneumonia;hospital acquired pneumonia;lower respiratory tract infection,Nhiễm trùng nhu mô phổi thường gặp,Common infection of lung parenchyma
DIS-VN-012,Lao phổi,Pulmonary tuberculosis,INFECTIOUS,A15,,lao phổi;bệnh lao,pulmonary tuberculosis;tuberculosis;active tuberculosis;mycobacterial infection,Nhiễm Mycobacterium tuberculosis ở phổi,Mycobacterium tuberculosis infection of the lungs
DIS-VN-013,Cúm,Influenza,INFECTIOUS,J10,,cúm;virus cúm,influenza;flu;seasonal influenza,Nhiễm virus cúm gây sốt và triệu chứng hô hấp,Influenza virus infection causing fever and respiratory symptoms
DIS-VN-014,COVID-19,COVID-19,INFECTIOUS,U07.1,,covid-19;covid,covid-19;covid 19;coronavirus disease;sars-cov-2,Bệnh nhiễm coronavirus gây hội chứng hô hấp,COVID related coronavirus infection causing respiratory syndrome
DIS-VN-015,Sốt xuất huyết Dengue,Dengue fever,INFECTIOUS,A90,,sốt xuất huyết;sốt dengue,dengue fever;dengue;severe dengue,Bệnh truyền nhiễm do virus Dengue thường gặp ở Việt Nam,Mosquito borne dengue virus disease common in Vietnam
DIS-VN-016,Viêm gan B,Hepatitis B,INFECTIOUS,B16,,viêm gan b;hbv,hepatitis b;hbv;chronic hepatitis b,Nhiễm virus viêm gan B cấp hoặc mạn,Hepatitis B virus infection acute or chronic
DIS-VN-017,Viêm gan C,Hepatitis C,INFECTIOUS,B17.1,,viêm gan c;hcv,hepatitis c;hcv;chronic hepatitis c,Nhiễm virus viêm gan C cấp hoặc mạn,Hepatitis C virus infection acute or chronic
DIS-VN-018,Nhiễm HIV,HIV infection,INFECTIOUS,B24,,hiv;nhiễm hiv;aids,HIV infection;human immunodeficiency virus;AIDS,Nhiễm virus HIV gây suy giảm miễn dịch,HIV infection causing immune deficiency
DIS-VN-019,Bệnh loét dạ dày tá tràng,Peptic ulcer disease,DIGESTIVE,K27,,loét dạ dày;loét tá tràng;loét dạ dày tá tràng,peptic ulcer;peptic ulcer disease;gastric ulcer;duodenal ulcer,Tổn thương loét ở dạ dày hoặc tá tràng,Ulcer disease involving stomach or duodenum
DIS-VN-020,Trào ngược dạ dày thực quản,GERD,DIGESTIVE,K21,,trào ngược dạ dày;trào ngược dạ dày thực quản,GERD;gastroesophageal reflux;gastro-oesophageal reflux;acid reflux,Bệnh trào ngược acid từ dạ dày lên thực quản,Reflux of gastric contents into the esophagus
DIS-VN-021,Tiêu chảy cấp,Acute diarrhea,DIGESTIVE,A09,,tiêu chảy cấp;tiêu chảy,acute diarrhea;diarrhea;diarrhoea;gastroenteritis,Tình trạng đi tiêu lỏng cấp tính thường do nhiễm trùng,Acute loose stools often related to infection
DIS-VN-022,Nhiễm trùng đường tiểu,Urinary tract infection,RENAL_URO,N39.0,,nhiễm trùng đường tiểu;nhiễm khuẩn tiết niệu,urinary tract infection;UTI;cystitis;pyelonephritis,Nhiễm khuẩn đường tiết niệu thường gặp,Common bacterial infection of the urinary tract
DIS-VN-023,Bệnh thận mạn,Chronic kidney disease,RENAL_URO,N18,,bệnh thận mạn;suy thận mạn,chronic kidney disease;CKD;chronic renal disease;renal impairment,Suy giảm chức năng thận mạn tính,Chronic decline in kidney function
DIS-VN-024,Gout,Gout,MUSCULOSKELETAL,M10,,gout;gút,gout;hyperuricemia;hyperuricaemia,Bệnh viêm khớp do lắng đọng tinh thể urat,Arthritis caused by urate crystal deposition
